26/10/2012
V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530340E+3	1.793000E+2	-7.000000E-1	1.530340E+3	-1.129000E+2	-2.910000E+2	1.533400E+3	-5.837000E+1	-1.823700E+2	1.530340E+3	-1.202000E+2	-2.997000E+2	1.530340E+3	-1.219000E+2	-2.592000E+2	1.530340E+3	-1.415000E+2	-2.806000E+2	1.530340E+3	-1.392000E+2	-3.182000E+2
1.530350E+3	1.788000E+2	-1.200000E+0	1.530350E+3	-1.127000E+2	-2.908000E+2	1.533500E+3	-5.883000E+1	-1.828300E+2	1.530350E+3	-1.203000E+2	-2.998000E+2	1.530350E+3	-1.219000E+2	-2.592000E+2	1.530350E+3	-1.412000E+2	-2.803000E+2	1.530350E+3	-1.389000E+2	-3.179000E+2
1.530360E+3	1.781000E+2	-1.900000E+0	1.530360E+3	-1.125000E+2	-2.906000E+2	1.533600E+3	-6.108000E+1	-1.850800E+2	1.530360E+3	-1.202000E+2	-2.997000E+2	1.530360E+3	-1.219000E+2	-2.592000E+2	1.530360E+3	-1.409000E+2	-2.800000E+2	1.530360E+3	-1.381000E+2	-3.171000E+2
1.530370E+3	1.776000E+2	-2.400000E+0	1.530370E+3	-1.124000E+2	-2.905000E+2	1.533700E+3	-6.252000E+1	-1.865200E+2	1.530370E+3	-1.200000E+2	-2.995000E+2	1.530370E+3	-1.219000E+2	-2.592000E+2	1.530370E+3	-1.405000E+2	-2.796000E+2	1.530370E+3	-1.377000E+2	-3.167000E+2
1.530380E+3	1.771000E+2	-2.900000E+0	1.530380E+3	-1.123000E+2	-2.904000E+2	1.533800E+3	-6.358000E+1	-1.875800E+2	1.530380E+3	-1.198000E+2	-2.993000E+2	1.530380E+3	-1.220000E+2	-2.593000E+2	1.530380E+3	-1.404000E+2	-2.795000E+2	1.530380E+3	-1.375000E+2	-3.165000E+2
1.530390E+3	1.759000E+2	-4.100000E+0	1.530390E+3	-1.122000E+2	-2.903000E+2	1.533900E+3	-6.348000E+1	-1.874800E+2	1.530390E+3	-1.196000E+2	-2.991000E+2	1.530390E+3	-1.220000E+2	-2.593000E+2	1.530390E+3	-1.403000E+2	-2.794000E+2	1.530390E+3	-1.372000E+2	-3.162000E+2
1.530400E+3	1.755000E+2	-4.500000E+0	1.530400E+3	-1.119000E+2	-2.900000E+2	1.534000E+3	-6.203000E+1	-1.860300E+2	1.530400E+3	-1.187000E+2	-2.982000E+2	1.530400E+3	-1.219000E+2	-2.592000E+2	1.530400E+3	-1.399000E+2	-2.790000E+2	1.530400E+3	-1.367000E+2	-3.157000E+2
1.530410E+3	1.753000E+2	-4.700000E+0	1.530410E+3	-1.116000E+2	-2.897000E+2	1.534100E+3	-5.909000E+1	-1.830900E+2	1.530410E+3	-1.188000E+2	-2.983000E+2	1.530410E+3	-1.216000E+2	-2.589000E+2	1.530410E+3	-1.394000E+2	-2.785000E+2	1.530410E+3	-1.362000E+2	-3.152000E+2
1.530420E+3	1.751000E+2	-4.900000E+0	1.530420E+3	-1.112000E+2	-2.893000E+2	1.534200E+3	-5.517000E+1	-1.791700E+2	1.530420E+3	-1.185000E+2	-2.980000E+2	1.530420E+3	-1.213000E+2	-2.586000E+2	1.530420E+3	-1.386000E+2	-2.777000E+2	1.530420E+3	-1.358000E+2	-3.148000E+2
1.530430E+3	1.749000E+2	-5.100000E+0	1.530430E+3	-1.107000E+2	-2.888000E+2	1.534300E+3	-5.063000E+1	-1.746300E+2	1.530430E+3	-1.182000E+2	-2.977000E+2	1.530430E+3	-1.209000E+2	-2.582000E+2	1.530430E+3	-1.379000E+2	-2.770000E+2	1.530430E+3	-1.353000E+2	-3.143000E+2
1.530440E+3	1.746000E+2	-5.400000E+0	1.530440E+3	-1.101000E+2	-2.882000E+2	1.534400E+3	-4.760000E+1	-1.716000E+2	1.530440E+3	-1.180000E+2	-2.975000E+2	1.530440E+3	-1.203000E+2	-2.576000E+2	1.530440E+3	-1.372000E+2	-2.763000E+2	1.530440E+3	-1.346000E+2	-3.136000E+2
1.530450E+3	1.742000E+2	-5.800000E+0	1.530450E+3	-1.097000E+2	-2.878000E+2	1.534500E+3	-4.614000E+1	-1.701400E+2	1.530450E+3	-1.177000E+2	-2.972000E+2	1.530450E+3	-1.200000E+2	-2.573000E+2	1.530450E+3	-1.354000E+2	-2.745000E+2	1.530450E+3	-1.340000E+2	-3.130000E+2
