24/10/2012
V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530550E+3	-3.428800E+1	-4.548000E+0	1.530550E+3	-3.435300E+1	-4.042000E+0	1.530550E+3	-3.405700E+1	-3.736000E+0	1.530550E+3	-3.333200E+1	-3.033000E+0	1.530550E+3	-3.418400E+1	-3.900000E+0	1.530550E+3	-3.432900E+1	-3.837000E+0
1.530560E+3	-3.427800E+1	-4.538000E+0	1.530560E+3	-3.435600E+1	-4.045000E+0	1.530560E+3	-3.409200E+1	-3.771000E+0	1.530560E+3	-3.335600E+1	-3.057000E+0	1.530560E+3	-3.419000E+1	-3.906000E+0	1.530560E+3	-3.432400E+1	-3.832000E+0
1.530570E+3	-3.428200E+1	-4.542000E+0	1.530570E+3	-3.434600E+1	-4.035000E+0	1.530570E+3	-3.407700E+1	-3.756000E+0	1.530570E+3	-3.333700E+1	-3.038000E+0	1.530570E+3	-3.416000E+1	-3.876000E+0	1.530570E+3	-3.432500E+1	-3.833000E+0
1.530580E+3	-3.431200E+1	-4.572000E+0	1.530580E+3	-3.437200E+1	-4.061000E+0	1.530580E+3	-3.408700E+1	-3.766000E+0	1.530580E+3	-3.334900E+1	-3.050000E+0	1.530580E+3	-3.414300E+1	-3.859000E+0	1.530580E+3	-3.433200E+1	-3.840000E+0
1.530590E+3	-3.431100E+1	-4.571000E+0	1.530590E+3	-3.434400E+1	-4.033000E+0	1.530590E+3	-3.411700E+1	-3.796000E+0	1.530590E+3	-3.331500E+1	-3.016000E+0	1.530590E+3	-3.416700E+1	-3.883000E+0	1.530590E+3	-3.432500E+1	-3.833000E+0
1.530600E+3	-3.429200E+1	-4.552000E+0	1.530600E+3	-3.436400E+1	-4.053000E+0	1.530600E+3	-3.415500E+1	-3.834000E+0	1.530600E+3	-3.330700E+1	-3.008000E+0	1.530600E+3	-3.420300E+1	-3.919000E+0	1.530600E+3	-3.433400E+1	-3.842000E+0
1.530610E+3	-3.430100E+1	-4.561000E+0	1.530610E+3	-3.436000E+1	-4.049000E+0	1.530610E+3	-3.414400E+1	-3.823000E+0	1.530610E+3	-3.332000E+1	-3.021000E+0	1.530610E+3	-3.421100E+1	-3.927000E+0	1.530610E+3	-3.431800E+1	-3.826000E+0
1.530620E+3	-3.428400E+1	-4.544000E+0	1.530620E+3	-3.438000E+1	-4.069000E+0	1.530620E+3	-3.413100E+1	-3.810000E+0	1.530620E+3	-3.330800E+1	-3.009000E+0	1.530620E+3	-3.417300E+1	-3.889000E+0	1.530620E+3	-3.431600E+1	-3.824000E+0
1.530630E+3	-3.428200E+1	-4.542000E+0	1.530630E+3	-3.438800E+1	-4.077000E+0	1.530630E+3	-3.406700E+1	-3.746000E+0	1.530630E+3	-3.331600E+1	-3.017000E+0	1.530630E+3	-3.414300E+1	-3.859000E+0	1.530630E+3	-3.429400E+1	-3.802000E+0
1.530640E+3	-3.430400E+1	-4.564000E+0	1.530640E+3	-3.436400E+1	-4.053000E+0	1.530640E+3	-3.406200E+1	-3.741000E+0	1.530640E+3	-3.333400E+1	-3.035000E+0	1.530640E+3	-3.412400E+1	-3.840000E+0	1.530640E+3	-3.430900E+1	-3.817000E+0
