26/07/2011
corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm
1.579500E+3	-4.384000E+1	-2.238400E+2	1.572750E+3	-1.396000E+2	-3.195000E+2	1.572750E+3	-1.257000E+2	-3.057000E+2
1.579600E+3	-5.894000E+1	-2.389400E+2	1.572800E+3	-1.386000E+2	-3.185000E+2	1.572800E+3	-1.253000E+2	-3.053000E+2
1.579700E+3	-6.377000E+1	-2.437700E+2	1.572850E+3	-1.396000E+2	-3.195000E+2	1.572850E+3	-1.263000E+2	-3.063000E+2
1.579800E+3	-6.435000E+1	-2.443500E+2	1.572900E+3	-1.404000E+2	-3.203000E+2	1.572900E+3	-1.274000E+2	-3.074000E+2
1.579900E+3	-6.095000E+1	-2.409500E+2	1.572950E+3	-1.361000E+2	-3.160000E+2	1.572950E+3	-1.240000E+2	-3.040000E+2
1.580000E+3	-6.052000E+1	-2.405200E+2	1.573000E+3	-1.319000E+2	-3.118000E+2	1.573000E+3	-1.200000E+2	-3.000000E+2
1.580100E+3	-7.037000E+1	-2.503700E+2	1.573050E+3	-1.310000E+2	-3.109000E+2	1.573050E+3	-1.191000E+2	-2.991000E+2
1.580200E+3	-8.172000E+1	-2.617200E+2	1.573100E+3	-1.314000E+2	-3.113000E+2	1.573100E+3	-1.194000E+2	-2.994000E+2
1.580300E+3	-9.020000E+1	-2.702000E+2	1.573150E+3	-1.290000E+2	-3.089000E+2	1.573150E+3	-1.171000E+2	-2.971000E+2
1.580400E+3	-8.908000E+1	-2.690800E+2	1.573200E+3	-1.231000E+2	-3.030000E+2	1.573200E+3	-1.112000E+2	-2.912000E+2
1.580500E+3	-9.108000E+1	-2.710800E+2	1.573250E+3	-1.178000E+2	-2.977000E+2	1.573250E+3	-1.054000E+2	-2.854000E+2
1.580600E+3	-9.313000E+1	-2.731300E+2	1.573300E+3	-1.141000E+2	-2.940000E+2	1.573300E+3	-1.009000E+2	-2.809000E+2
1.580700E+3	-1.043000E+2	-2.843000E+2	1.573350E+3	-1.126000E+2	-2.925000E+2	1.573350E+3	-9.885000E+1	-2.788500E+2
1.580800E+3	-1.035000E+2	-2.835000E+2	1.573400E+3	-1.106000E+2	-2.905000E+2	1.573400E+3	-9.706000E+1	-2.770600E+2
