06/03/2012
V740 C11 Middle set
Pin 0.6dBm
MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr51 _X	MZIcorr51_Y	MZIcorr51_Ynorm	MZIcorr101 _X	MZIcorr101_Y	MZIcorr101_Ynorm	corrWi1100_101taps _X	corrWi1100_101taps_Y	corrWi1100_101taps_Ynorm	corrWi1100_1001taps _X	corrWi1100_1001taps_Y	corrWi1100_1001taps_Ynorm
1.534700E+3	-2.544200E+1	-1.880000E-1	1.562350E+3	-2.938500E+1	-4.860000E-1	1.532350E+3	-2.259900E+1	-3.810000E-1	1.532350E+3	-2.222100E+1	-2.830000E-1	1.532350E+3	-5.054500E+1	-2.954100E+1	1.532350E+3	-6.138100E+1	-3.244700E+1
1.534800E+3	-2.539500E+1	-1.410000E-1	1.562400E+3	-2.930400E+1	-4.050000E-1	1.532400E+3	-2.267900E+1	-4.610000E-1	1.532400E+3	-2.220400E+1	-2.660000E-1	1.532400E+3	-5.053300E+1	-2.952900E+1	1.532400E+3	-6.136000E+1	-3.242600E+1
1.534900E+3	-2.539600E+1	-1.420000E-1	1.562450E+3	-2.927300E+1	-3.740000E-1	1.532450E+3	-2.262700E+1	-4.090000E-1	1.532450E+3	-2.220000E+1	-2.620000E-1	1.532450E+3	-5.050100E+1	-2.949700E+1	1.532450E+3	-6.142800E+1	-3.249400E+1
1.535000E+3	-2.541500E+1	-1.610000E-1	1.562500E+3	-2.932100E+1	-4.220000E-1	1.532500E+3	-2.256200E+1	-3.440000E-1	1.532500E+3	-2.225100E+1	-3.130000E-1	1.532500E+3	-5.052200E+1	-2.951800E+1	1.532500E+3	-6.158600E+1	-3.265200E+1
1.535100E+3	-2.544400E+1	-1.900000E-1	1.562550E+3	-2.936600E+1	-4.670000E-1	1.532550E+3	-2.255200E+1	-3.340000E-1	1.532550E+3	-2.224900E+1	-3.110000E-1	1.532550E+3	-5.045100E+1	-2.944700E+1	1.532550E+3	-6.163500E+1	-3.270100E+1
1.535200E+3	-2.539000E+1	-1.360000E-1	1.562600E+3	-2.934100E+1	-4.420000E-1	1.532600E+3	-2.257300E+1	-3.550000E-1	1.532600E+3	-2.217700E+1	-2.390000E-1	1.532600E+3	-5.046500E+1	-2.946100E+1	1.532600E+3	-6.154000E+1	-3.260600E+1
1.535300E+3	-2.541000E+1	-1.560000E-1	1.562650E+3	-2.928100E+1	-3.820000E-1	1.532650E+3	-2.258800E+1	-3.700000E-1	1.532650E+3	-2.217600E+1	-2.380000E-1	1.532650E+3	-5.056000E+1	-2.955600E+1	1.532650E+3	-6.149900E+1	-3.256500E+1
1.535400E+3	-2.534200E+1	-8.800000E-2	1.562700E+3	-2.930200E+1	-4.030000E-1	1.532700E+3	-2.255300E+1	-3.350000E-1	1.532700E+3	-2.220500E+1	-2.670000E-1	1.532700E+3	-5.059600E+1	-2.959200E+1	1.532700E+3	-6.165200E+1	-3.271800E+1
1.535500E+3	-2.534100E+1	-8.700000E-2	1.562750E+3	-2.944400E+1	-5.450000E-1	1.532750E+3	-2.249900E+1	-2.810000E-1	1.532750E+3	-2.219400E+1	-2.560000E-1	1.532750E+3	-5.063500E+1	-2.963100E+1	1.532750E+3	-6.168200E+1	-3.274800E+1
1.535600E+3	-2.526700E+1	-1.300000E-2	1.562800E+3	-2.949600E+1	-5.970000E-1	1.532800E+3	-2.257500E+1	-3.570000E-1	1.532800E+3	-2.217900E+1	-2.410000E-1	1.532800E+3	-5.064200E+1	-2.963800E+1	1.532800E+3	-6.163000E+1	-3.269600E+1
