26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.558250E+3	1.366000E+2	-4.330000E+1	1.558250E+3	1.316000E+2	-4.800000E+1	1.558250E+3	8.655000E+1	-9.315000E+1
1.558300E+3	1.449000E+2	-3.500000E+1	1.558300E+3	1.467000E+2	-3.290000E+1	1.558300E+3	9.645000E+1	-8.325000E+1
1.558350E+3	1.465000E+2	-3.340000E+1	1.558350E+3	1.546000E+2	-2.500000E+1	1.558350E+3	9.863000E+1	-8.107000E+1
1.558400E+3	1.398000E+2	-4.010000E+1	1.558400E+3	1.615000E+2	-1.810000E+1	1.558400E+3	1.032000E+2	-7.650000E+1
1.558450E+3	1.428000E+2	-3.710000E+1	1.558450E+3	1.757000E+2	-3.900000E+0	1.558450E+3	1.315000E+2	-4.820000E+1
1.558500E+3	1.444000E+2	-3.550000E+1	1.558500E+3	1.761000E+2	-3.500000E+0	1.558500E+3	1.372000E+2	-4.250000E+1
1.558550E+3	1.359000E+2	-4.400000E+1	1.558550E+3	1.652000E+2	-1.440000E+1	1.558550E+3	1.244000E+2	-5.530000E+1
1.558600E+3	1.398000E+2	-4.010000E+1	1.558600E+3	-1.736000E+2	-3.532000E+2	1.558600E+3	1.471000E+2	-3.260000E+1
1.558650E+3	1.268000E+2	-5.310000E+1	1.558650E+3	1.274000E+2	-5.220000E+1	1.558650E+3	5.297000E+1	-1.267300E+2
1.558700E+3	1.081000E+2	-7.180000E+1	1.558700E+3	8.458000E+1	-9.502000E+1	1.558700E+3	1.107000E+1	-1.686300E+2
1.558750E+3	1.108000E+2	-6.910000E+1	1.558750E+3	8.784000E+1	-9.176000E+1	1.558750E+3	1.168000E+1	-1.680200E+2
1.558800E+3	1.059000E+2	-7.400000E+1	1.558800E+3	7.715000E+1	-1.024500E+2	1.558800E+3	3.445000E+0	-1.762550E+2
1.558850E+3	1.147000E+2	-6.520000E+1	1.558850E+3	9.345000E+1	-8.615000E+1	1.558850E+3	2.134000E+1	-1.583600E+2
1.558900E+3	1.310000E+2	-4.890000E+1	1.558900E+3	1.173000E+2	-6.230000E+1	1.558900E+3	4.413000E+1	-1.355700E+2
1.558950E+3	1.375000E+2	-4.240000E+1	1.558950E+3	1.268000E+2	-5.280000E+1	1.558950E+3	5.712000E+1	-1.225800E+2
1.559000E+3	1.399000E+2	-4.000000E+1	1.559000E+3	1.366000E+2	-4.300000E+1	1.559000E+3	6.534000E+1	-1.143600E+2
1.559050E+3	1.465000E+2	-3.340000E+1	1.559050E+3	1.522000E+2	-2.740000E+1	1.559050E+3	7.649000E+1	-1.032100E+2
1.559100E+3	1.455000E+2	-3.440000E+1	1.559100E+3	1.544000E+2	-2.520000E+1	1.559100E+3	8.185000E+1	-9.785000E+1
1.559150E+3	1.455000E+2	-3.440000E+1	1.559150E+3	1.563000E+2	-2.330000E+1	1.559150E+3	8.394000E+1	-9.576000E+1
1.559200E+3	1.488000E+2	-3.110000E+1	1.559200E+3	1.621000E+2	-1.750000E+1	1.559200E+3	8.835000E+1	-9.135000E+1
1.559250E+3	1.605000E+2	-1.940000E+1	1.559250E+3	1.749000E+2	-4.700000E+0	1.559250E+3	1.037000E+2	-7.600000E+1
1.559300E+3	1.652000E+2	-1.470000E+1	1.559300E+3	-1.785000E+2	-3.581000E+2	1.559300E+3	1.088000E+2	-7.090000E+1
1.559350E+3	1.673000E+2	-1.260000E+1	1.559350E+3	-1.745000E+2	-3.541000E+2	1.559350E+3	1.114000E+2	-6.830000E+1
1.559400E+3	1.721000E+2	-7.800000E+0	1.559400E+3	-1.675000E+2	-3.471000E+2	1.559400E+3	1.165000E+2	-6.320000E+1
1.559450E+3	1.730000E+2	-6.900000E+0	1.559450E+3	-1.669000E+2	-3.465000E+2	1.559450E+3	1.182000E+2	-6.150000E+1
1.559500E+3	1.758000E+2	-4.100000E+0	1.559500E+3	-1.636000E+2	-3.432000E+2	1.559500E+3	1.194000E+2	-6.030000E+1
1.559550E+3	1.708000E+2	-9.100000E+0	1.559550E+3	-1.673000E+2	-3.469000E+2	1.559550E+3	1.133000E+2	-6.640000E+1
1.559600E+3	1.673000E+2	-1.260000E+1	1.559600E+3	-1.700000E+2	-3.496000E+2	1.559600E+3	1.093000E+2	-7.040000E+1
1.559650E+3	1.725000E+2	-7.400000E+0	1.559650E+3	-1.614000E+2	-3.410000E+2	1.559650E+3	1.189000E+2	-6.080000E+1
1.559700E+3	-1.787000E+2	-3.586000E+2	1.559700E+3	-1.499000E+2	-3.295000E+2	1.559700E+3	1.336000E+2	-4.610000E+1
1.559750E+3	1.798000E+2	-1.000000E-1	1.559750E+3	-1.543000E+2	-3.339000E+2	1.559750E+3	1.295000E+2	-5.020000E+1
1.559800E+3	1.760000E+2	-3.900000E+0	1.559800E+3	-1.740000E+2	-3.536000E+2	1.559800E+3	1.139000E+2	-6.580000E+1
1.559850E+3	1.662000E+2	-1.370000E+1	1.559850E+3	1.750000E+2	-4.600000E+0	1.559850E+3	1.043000E+2	-7.540000E+1
1.559900E+3	1.670000E+2	-1.290000E+1	1.559900E+3	1.728000E+2	-6.800000E+0	1.559900E+3	1.002000E+2	-7.950000E+1
1.559950E+3	1.654000E+2	-1.450000E+1	1.559950E+3	1.601000E+2	-1.950000E+1	1.559950E+3	8.416000E+1	-9.554000E+1
1.560000E+3	1.523000E+2	-2.760000E+1	1.560000E+3	1.426000E+2	-3.700000E+1	1.560000E+3	6.745000E+1	-1.122500E+2
1.560050E+3	1.419000E+2	-3.800000E+1	1.560050E+3	1.275000E+2	-5.210000E+1	1.560050E+3	5.530000E+1	-1.244000E+2
1.560100E+3	1.589000E+2	-2.100000E+1	1.560100E+3	1.396000E+2	-4.000000E+1	1.560100E+3	7.095000E+1	-1.087500E+2
1.560150E+3	1.660000E+2	-1.390000E+1	1.560150E+3	1.530000E+2	-2.660000E+1	1.560150E+3	8.611000E+1	-9.359000E+1
1.560200E+3	1.686000E+2	-1.130000E+1	1.560200E+3	1.562000E+2	-2.340000E+1	1.560200E+3	9.088000E+1	-8.882000E+1
1.560250E+3	1.694000E+2	-1.050000E+1	1.560250E+3	1.557000E+2	-2.390000E+1	1.560250E+3	9.170000E+1	-8.800000E+1
1.560300E+3	1.799000E+2	0.000000E+0	1.560300E+3	1.689000E+2	-1.070000E+1	1.560300E+3	1.049000E+2	-7.480000E+1
1.560350E+3	-1.767000E+2	-3.566000E+2	1.560350E+3	1.754000E+2	-4.200000E+0	1.560350E+3	1.167000E+2	-6.300000E+1
1.560400E+3	1.798000E+2	-1.000000E-1	1.560400E+3	1.761000E+2	-3.500000E+0	1.560400E+3	1.212000E+2	-5.850000E+1
1.560450E+3	-1.744000E+2	-3.543000E+2	1.560450E+3	-1.747000E+2	-3.543000E+2	1.560450E+3	1.310000E+2	-4.870000E+1
1.560500E+3	-1.614000E+2	-3.413000E+2	1.560500E+3	-1.600000E+2	-3.396000E+2	1.560500E+3	1.495000E+2	-3.020000E+1
